insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
81185,montvalen,81630,montvalen,43.856485951,1.593892791,tarn,81,occitanie,Occitanie
34262,st guiraud,34725,st guiraud,43.678717741,3.45083011,hérault,34,occitanie,Occitanie
81193,nages,81320,nages,43.655238912,2.770915122,tarn,81,occitanie,Occitanie
34264,st jean de bueges,34380,st jean de bueges,43.834280438,3.604851855,hérault,34,occitanie,Occitanie
81208,peyrole,81310,peyrole,43.814539561,1.897047617,tarn,81,occitanie,Occitanie
34274,st martin de londres,34380,st martin de londres,43.792641453,3.707968331,hérault,34,occitanie,Occitanie
81210,poudis,81700,poudis,43.524240114,1.981069537,tarn,81,occitanie,Occitanie
34282,st paul et valmalle,34570,st paul et valmalle,43.614726969,3.678978639,hérault,34,occitanie,Occitanie
81219,puylaurens,81700,puylaurens,43.582729911,2.016981256,tarn,81,occitanie,Occitanie
34289,st thibery,34630,st thibery,43.392455396,3.400710702,hérault,34,occitanie,Occitanie
81233,terre de bancalie,81120,terre de bancalie,43.802018183,2.276521031,tarn,81,occitanie,Occitanie
34291,st vincent d olargues,34390,st vincent d olargues,43.560176506,2.872962257,hérault,34,occitanie,Occitanie
81233,terre de bancalie,81120,terre de bancalie,43.802018183,2.276521031,tarn,81,occitanie,Occitanie
34292,salasc,34800,salasc,43.62208723,3.312554429,hérault,34,occitanie,Occitanie
81233,terre de bancalie,81120,terre de bancalie,43.802018183,2.276521031,tarn,81,occitanie,Occitanie
34294,saturargues,34400,saturargues,43.714414833,4.117441752,hérault,34,occitanie,Occitanie
81236,st agnan,81500,st agnan,43.695339135,1.741099959,tarn,81,occitanie,Occitanie
34297,sauteyrargues,34270,sauteyrargues,43.830303602,3.918486755,hérault,34,occitanie,Occitanie
81244,st benoit de carmaux,81400,st benoit de carmaux,44.054496464,2.129258707,tarn,81,occitanie,Occitanie
34305,le soulie,34330,le soulie,43.543103468,2.689865963,hérault,34,occitanie,Occitanie
81251,st germain des pres,81700,st germain des pres,43.562572853,2.077687872,tarn,81,occitanie,Occitanie
34316,usclas du bosc,34700,usclas du bosc,43.728414026,3.399350225,hérault,34,occitanie,Occitanie
81264,st michel labadie,81340,st michel labadie,44.006804856,2.427545609,tarn,81,occitanie,Occitanie
34318,vacquieres,34270,vacquieres,43.829215492,3.95070599,hérault,34,occitanie,Occitanie
81266,st paul cap de joux,81220,st paul cap de joux,43.635289517,1.989332855,tarn,81,occitanie,Occitanie
